Measured Data,,,,,,,,,,,,Obtained from measured data,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MD,DTC,DTS,GR,DEN,NEU,RES-SHT,RES-MED,RES-DEP,Hole Size,Caliper,,Poisson,Vp (Measured),Vs (Measured),
(ft),(micro-sec/ft),(micro-sec/ft),(GRAPI),(g/cc),(PU),(Ohms-m),(Ohms-m),(Ohms-m),(Inches),(Inches),,Unitless,(km/s),(km/s),
9133.530184,79.3999,145.4482,16.5442,2.4278,18.7,1.5132,1.5992,1.4575,8.5,8.5782,,0.287744453,3.838795767,2.09559142,2.463704142
9133.858268,79.3141,145.323,15.0841,2.4328,18.63,1.5535,1.6723,1.4791,8.5,8.6015,,0.287877456,3.84294848,2.097396833,2.463833515
9134.186352,79.2991,145.1986,14.8133,2.443,18.26,1.5946,1.7173,1.5025,8.5,8.5781,,0.287473786,3.843675401,2.099193794,2.459149721
9134.514436,79.3382,145.0748,15.6811,2.4582,17.92,1.6398,1.761,1.5352,8.5,8.5781,,0.286656487,3.841781134,2.100985147,2.450326813
9134.84252,79.3772,144.9514,16.1992,2.4738,17.69,1.6684,1.7976,1.5624,8.5,8.5782,,0.285837263,3.839893571,2.102773757,2.441388502
9135.170604,79.4352,144.9449,16.0213,2.4856,17.29,1.6789,1.8175,1.5794,8.5,8.6015,,0.285362282,3.837089854,2.102868055,2.433808196
9135.498688,79.5107,145.0466,15.6777,2.4918,17.59,1.6985,1.8322,1.5997,8.5,8.5781,,0.285209676,3.833446316,2.101393621,2.428470292
9135.826772,79.5863,145.1483,15.3333,2.4937,17.57,1.7139,1.8408,1.6308,8.5,8.5781,,0.28505641,3.829804878,2.099921253,2.425239011
9136.154856,79.7365,145.2267,13.7079,2.4942,17.57,1.7226,1.8233,1.6471,8.5,8.5781,,0.284227276,3.822590658,2.09878762,2.420427935
9136.48294,79.9696,145.2793,14.9699,2.494,17.65,1.7309,1.7735,1.667,8.5,8.5781,,0.282640071,3.81144835,2.09802773,2.413469497
9136.811024,80.2028,145.3327,15.3459,2.4924,17.83,1.7251,1.7652,1.6831,8.5,8.5781,,0.281045567,3.800366072,2.097256846,2.407224312
9137.139108,80.4851,145.6892,16.1681,2.4881,17.98,1.7325,1.7348,1.7036,8.5,8.5781,,0.280374471,3.787036358,2.09212488,2.400852941
9137.467192,80.834,146.457,16.3194,2.4815,17.97,1.759,1.6682,1.723,8.5,8.5781,,0.280961819,3.770690551,2.081156927,2.393667112
9137.795276,81.1826,147.2245,15.0979,2.4745,17.84,1.7587,1.6753,1.7329,8.5,8.5782,,0.281542601,3.754499117,2.070307591,2.386757398
9138.12336,81.3619,147.8314,15.6518,2.4702,17.45,1.7514,1.6985,1.7395,8.5,8.6017,,0.282735966,3.746225199,2.061808249,2.383569514
9138.451444,81.2607,148.1722,14.7648,2.4698,17.54,1.7378,1.7436,1.7457,8.5,8.625,,0.284932562,3.750890652,2.057066035,2.3867312
9138.779528,81.1594,148.5125,16.4689,2.4726,17.74,1.737,1.7581,1.7566,8.5,8.625,,0.287096791,3.755572367,2.052352496,2.388356774
9139.107612,81.0338,148.5999,16.7636,2.4757,17.84,1.7533,1.7064,1.7739,8.5,8.6249,,0.288389146,3.761393394,2.051145391,2.390560554
9139.435696,80.8581,148.1706,18.542,2.4772,17.53,1.777,1.6421,1.797,8.5,8.6017,,0.287953338,3.769566685,2.057088248,2.395029654
9139.76378,80.6826,147.7413,19.3751,2.4765,16.91,1.7902,1.6328,1.8038,8.5,8.6249,,0.287512639,3.77776621,2.063065642,2.400578497
9140.091864,80.5535,147.3624,20.5039,2.4746,16.63,1.8459,1.614,1.825,8.5,8.6017,,0.286926279,3.783820691,2.068370222,2.405348695
9140.419948,80.5434,147.1123,22.5621,2.474,16.06,1.8856,1.6766,1.8372,8.5,8.625,,0.285967358,3.784295175,2.071886579,2.405942015
9140.748031,80.5334,146.8621,23.8914,2.4772,16.1,1.8884,1.7966,1.8401,8.5,8.6249,,0.28499987,3.784765079,2.075416326,2.404686096
9141.076115,80.566,146.5582,24.9329,2.4867,16.6,1.9072,2.0315,1.8582,8.5,8.6015,,0.283470242,3.783233622,2.079719866,2.399117195
9141.404199,80.739,146.0773,25.4368,2.5019,16.76,1.9706,2.2049,1.8841,8.5,8.5781,,0.28006485,3.775127262,2.086566496,2.38669335
9141.732283,80.912,145.5966,26.054,2.5181,16.88,1.981,2.2256,1.8998,8.5,8.5782,,0.276586051,3.767055567,2.093455479,2.373917051
9142.060367,81.1032,145.2376,23.7163,2.5308,16.78,1.9856,2.2386,1.9099,8.5,8.6017,,0.273435375,3.75817477,2.098630107,2.362370766
9142.388451,81.3744,145.4133,21.5331,2.537,17.2,2.0014,2.2082,1.9235,8.5,8.625,,0.272027615,3.745649738,2.096094374,2.351618833
9142.716535,81.6452,145.589,18.8746,2.5376,17.73,2.0164,2.1355,1.9358,8.5,8.625,,0.270618081,3.733226203,2.093564761,2.3435419
9143.044619,81.7484,145.7433,17.3623,2.5364,18.19,2.0178,2.0424,1.9575,8.5,8.625,,0.270481548,3.728513341,2.091348282,2.341137002
9143.372703,80.7979,145.7646,16.3139,2.5359,18.48,2.0122,1.9707,1.9805,8.5,8.625,,0.278235863,3.772375272,2.091042681,2.368911453
9143.700787,79.8474,145.7859,16.5403,2.5349,18.61,1.9973,1.945,1.9936,8.5,8.6249,,0.285735953,3.817281464,2.09073717,2.397583647
9144.028871,78.9486,145.8463,17.6497,2.5292,18.85,1.9977,1.8986,2.0144,8.5,8.5782,,0.292765895,3.860739772,2.089871323,2.427610141
9144.356955,78.5755,146.3039,18.8934,2.5179,18.22,2.0563,1.7729,2.0473,8.5,8.6017,,0.297313968,3.879071721,2.083334757,2.444604295
9144.685039,78.2024,146.7616,19.1216,2.5057,17.99,1.9801,1.8954,2.0373,8.5,8.6249,,0.30174169,3.897578591,2.076837538,2.462239786
9145.013123,77.8425,147.2262,20.5917,2.4971,17.3,2.0105,1.8479,2.0438,8.5,8.5782,,0.305986926,3.915598805,2.070283686,2.477879713
9145.341207,77.7845,147.8511,20.8689,2.4934,16.02,2.0464,1.7748,2.0644,8.5,8.6017,,0.308646034,3.918518471,2.061533529,2.481566517
9145.669291,77.7265,148.476,21.7353,2.4937,14.59,2.0849,1.8791,2.0866,8.5,8.625,,0.311249786,3.921442494,2.052857027,2.483268891
9145.997375,77.6698,149.106,21.4038,2.4971,13.06,2.1539,1.9467,2.1,8.5,8.6094,,0.313808725,3.9243052,2.044183333,2.483389317
